06-01-2016 03:13 PM | 34138 | 92A972185B | Successful ->0
06-01-2016 03:13 PM | 34138 | 92A972185B | Successful ->0
06-02-2016 11:06 AM | 34138 | 92A973470A | Successful ->0
06-02-2016 11:06 AM | 34138 | 92A973470A | Successful ->0
06-02-2016 11:15 AM | 34138 | 92A973470A | Successful ->0
06-02-2016 11:18 AM | 34138 | NS0001375920-12325484 | Successful ->0
06-02-2016 11:33 AM | 34138 | NS0001375920-12325484 | Successful ->0
06-02-2016 11:34 AM | 34138 | NS0001375920-12325484 | Successful ->0
06-02-2016 12:53 PM | 34138 | ICS20002728402_1668425 | Google Call failed
06-02-2016 12:56 PM | 34138 | ICS20002728402_1668425 | Google Call failed
06-02-2016 12:56 PM | 34138 | ICS20002728402_1668425 | Successful ->0
06-02-2016 12:58 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 12:58 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 12:58 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 12:58 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 12:59 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 12:59 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 12:59 PM | 34138 | PA0001376592 | Google Call failed
06-02-2016 01:00 PM | 34138 | PA0001376728-12329164 | UNABLE to Download ZIP timed out after 3 attempts
06-02-2016 01:00 PM | 34138 | PA0001376728-12329164 | Successful ->0
06-02-2016 01:10 PM | 34138 | PA0001376728-12329164 | Successful ->0
06-02-2016 01:24 PM | 34138 | PA0001374339-12329609 | Successful ->0
06-02-2016 01:25 PM | 34138 | PA0001376739-12329547 | Successful ->0
06-02-2016 01:32 PM | 34138 | PA0001376739-12329547 | Successful ->0
06-02-2016 01:32 PM | 34138 | PA0001376739-12329547 | Successful ->0
06-02-2016 01:38 PM | 34138 | PA0001376739-12329547 | Successful ->0
06-02-2016 01:49 PM | 34138 | PA0001377002-12329489 | Successful ->0
06-02-2016 01:50 PM | 34138 | PA0001377068-12329184 | Successful ->0
06-03-2016 11:12 AM | 34138 | PA0001376143 | Successful ->0
